#Piezas 1
9,5,11
0,11,5
11,4,9
9,7,2
10,1,7
7,8,9
#Fin
#Piezas 2
4,5,3
0,5,9
9,7,11
10,1,5
2,0,5
0,8,4
#Fin
#Piezas 3
2,5,11
9,11,5
1,0,2
3,5,1
9,2,5
0,9,5
#Fin
#Piezas 4
9,11,5
11,5,0
10,4,5
10,5,7
9,1,8
8,7,9
#Fin
#Piezas 5
11,1,0
0,5,11
9,11,7
3,1,5
0,5,9
9,11,4
#Fin
#Piezas 6
1,7,9
11,5,1
7,2,5
11,4,1
4,1,0
9,1,5
#Fin
#Piezas 7
9,5,3
7,9,10
6,5,7
11,3,5
7,6,1
2,7,3
#Fin
#Piezas 8
3,9,5
1,0,3
7,10,11
10,5,9
8,4,3
6,1,5
#Fin
#Piezas 9
#Piezas 10
#Piezas 11
#Piezas 12
#Piezas 13
#Piezas 14
#Piezas 15
#Piezas 16
#Piezas 17
#Piezas 18
#Piezas 19
#Piezas 20
#Piezas 21
#Piezas 22
#Piezas 23
#Piezas 24
#Piezas 25
#Piezas 26
#Piezas 27
#Piezas 28
#Piezas 29
#Piezas 30
#Piezas 31
#Piezas 32
#Piezas 33
#Piezas 34
#Piezas 35
#Piezas 36
#Piezas 37
#Piezas 38
#Piezas 39







